Year,State,SEIFA_Quintile,Actual,Adjusted
2006,NSW,Q4,17.2706813135226,25.1643231501299
2006,NSW,Q5,19.4768809742825,28.3788761946354
2006,NT,Q1,21.7091556646913,32.3795199807264
2006,NT,Q2,22.7848854756753,33.9839865683087
2006,NT,Q3,22.2739059106243,33.2218531490334
2006,NT,Q4,23.5191285174296,35.079120695513
2006,NT,Q5,23.8694971533517,35.601700588655
2006,Qld,Q1,15.0979431531133,21.6356059143926
2006,Qld,Q2,17.514737766992,25.0989131550959
2006,Qld,Q3,18.2959682774792,26.2184295873535
2006,Qld,Q4,17.7177073363432,25.3897719542425
2006,Qld,Q5,18.4788151312382,26.4804521973539
2006,SA,Q1,12.318285433257,17.7198505718059
2006,SA,Q2,13.8969137422085,19.9907070067057
2006,SA,Q3,14.2540399473755,20.5044329651698
2006,SA,Q4,15.4289788793057,22.1945823303234
2006,SA,Q5,16.5323958603797,23.7818473867279
2006,Tas,Q1,15.1389896619065,22.9217985620714
2006,Tas,Q2,16.6062947622175,25.1434310943308
2006,Tas,Q3,15.8081410937807,23.9349543057164
2006,Tas,Q4,15.8145563629973,23.9446676031021
2006,Tas,Q5,17.5163651521467,26.5213599139635
2006,Vic,Q1,15.6953082390769,22.5127655953555
2006,Vic,Q2,15.6811822164915,22.4925037546566
2006,Vic,Q3,16.001096361936,22.9513766902705
2006,Vic,Q4,17.8064849687757,25.5409588695561
2006,Vic,Q5,19.0070432860408,27.2629950072632
2006,WA,Q1,15.0906068468463,21.3452599456582
2006,WA,Q2,16.8512203780081,23.8356007164368
2006,WA,Q3,17.3776047753292,24.5801573738456
2006,WA,Q4,18.2039174608291,25.7489545764628
2006,WA,Q5,19.4167725558479,27.4645056833423
2007,ACT,Q1,22.3407628437987,34.160239680842
2007,ACT,Q4,22.1206959274085,33.8237454141837
2007,ACT,Q5,22.4966991170389,34.3986747112869
2007,Aus,Q1,16.5110125050927,23.7223576126147
2007,Aus,Q2,18.0960456741685,25.9996694160595
2007,Aus,Q3,18.5470950898534,26.6477190457559
2007,Aus,Q4,19.6091741555425,28.1736714609319
2007,Aus,Q5,21.1523907624058,30.3909029123917
2007,NSW,Q1,16.465053043165,23.7781682176243
2007,NSW,Q2,17.1680335357714,24.7933844069121
2007,NSW,Q3,17.7271881589198,25.6008930528927
2007,NSW,Q4,18.8152775386903,27.1722680275231
2007,NSW,Q5,21.1460235030776,30.5382377251888
2007,NT,Q1,24.5326122735345,33.9218348643008
2007,NT,Q2,25.8701008309312,35.7712125608558
2007,NT,Q3,25.3064781289755,34.9918778529029
2007,NT,Q4,26.7271467025572,36.9562705646376
2007,NT,Q5,27.6564758984841,38.2412764648373
2007,Qld,Q1,16.8723529904146,24.071351686785
2007,Qld,Q2,19.9721107407578,28.4936962758734
2007,Qld,Q3,20.650658927449,29.461763506778
2007,Qld,Q4,20.100294063698,28.6765721230435
2007,Qld,Q5,20.7814414109445,29.6483475094052
2007,SA,Q1,13.2557103646796,18.958501323823
2007,SA,Q2,15.3677306708654,21.9791421396825
2007,SA,Q3,15.7758425489411,22.5628294237215
2007,SA,Q4,16.8698303528756,24.1274659960777
2007,SA,Q5,18.1936800896849,26.0208543017483
2007,Tas,Q1,17.3117215146162,25.9531046765204
2007,Tas,Q2,18.5454376666653,27.8026471618366
2007,Tas,Q3,17.8856410650466,26.8135040397869
2007,Tas,Q4,17.6966810944444,26.5302221089534
2007,Tas,Q5,19.6495161092234,29.4578414974552
2007,Vic,Q1,17.3151941566668,24.9403629563024
2007,Vic,Q2,17.2895473309953,24.9034219243315
2007,Vic,Q3,17.6378005312476,25.4050369299966
2007,Vic,Q4,19.6656563075465,28.325908542889
2007,Vic,Q5,21.1870677742084,30.5173107207166
2007,WA,Q1,17.1715303615587,23.8278349340897
2007,WA,Q2,19.0554102954986,26.441974684968
2007,WA,Q3,19.9428603576558,27.6734324029515
2007,WA,Q4,20.709595664499,28.7373819720881
2007,WA,Q5,22.1988227434011,30.8038871855602
2008,ACT,Q1,24.1006868131868,35.3380632636709
2008,ACT,Q4,24.3427626066523,35.6930112272039
2008,ACT,Q5,24.6901828936124,36.2024224392097
2008,Aus,Q1,18.2537167005315,25.1070407883894
2008,Aus,Q2,19.9974823892574,27.5055000715314
2008,Aus,Q3,20.4632322708948,28.1461148826027
2008,Aus,Q4,21.5681000281336,29.6658031905713
2008,Aus,Q5,23.1877449915679,31.8935408522646
2008,NSW,Q1,17.8885688332825,24.8785998857876
2008,NSW,Q2,18.6930933612694,25.9974956463501
2008,NSW,Q3,19.3323902156277,26.886600347573
2008,NSW,Q4,20.6023856040885,28.6528516011405
2008,NSW,Q5,22.8990242154615,31.8469110939431
2008,NT,Q1,27.4852866693768,36.8009051702508
2008,NT,Q2,28.6989507634989,38.4259177733062
2008,NT,Q3,26.1837402885683,35.0582242402323
2008,NT,Q4,29.9274099717054,40.0707400147674
2008,NT,Q5,30.0191164972635,40.1935287340976
2008,Qld,Q1,18.7315550678953,25.634830883518
2008,Qld,Q2,22.3082721450529,30.5297014406494
2008,Qld,Q3,22.9249646828191,31.3736681511261
2008,Qld,Q4,22.2054928347745,30.3890441258797
2008,Qld,Q5,22.9973309874376,31.4727041347289
2008,SA,Q1,15.0357033766387,20.715955114149
2008,SA,Q2,16.8298675158025,23.1879261848261
2008,SA,Q3,17.0150563521753,23.4430764445673
2008,SA,Q4,18.0331004077627,24.8457214975778
2008,SA,Q5,19.5464470527053,26.9307866510636
2008,Tas,Q1,19.622479330962,28.0001450745651
2008,Tas,Q2,20.7900242975237,29.666164332041
2008,Tas,Q3,20.161824999088,28.76976020312
2008,Tas,Q4,20.4935693369541,29.2431402195413
2008,Tas,Q5,22.7543141389122,32.4690925247382
2008,Vic,Q1,18.7522594539408,25.6281905982034
2008,Vic,Q2,18.8907721733663,25.8174920731767
2008,Vic,Q3,19.3933131381419,26.5043008100283
2008,Vic,Q4,21.4193194126046,29.273187145172
2008,Vic,Q5,23.2334456654789,31.7525029573311
2008,WA,Q1,19.8525656793334,26.0820365177725
2008,WA,Q2,21.5226381521478,28.2761555010238
2008,WA,Q3,22.407651712878,29.4388745360612
